,"-, clemscore","all, Average % Played","all, Average Quality Score","function_detective, % Played","function_detective, Quality Score","function_detective, Quality Score (std)"
gpt-3.5-turbo-0125-t0.0,0.06,100.0,0.06,100.0,0.06,0.17
gpt-3.5-turbo-1106-t0.0,0.11,100.0,0.11,100.0,0.11,0.18
gpt-3.5-turbo-t0.0,0.08,100.0,0.08,100.0,0.08,0.18
gpt-4-0125-preview-t0.0,0.03,100.0,0.03,100.0,0.03,0.08
gpt-4-0613-t0.0,0.08,100.0,0.08,100.0,0.08,0.12
gpt-4-1106-preview-t0.0,0.17,100.0,0.17,100.0,0.17,0.12
gpt-4-turbo-2024-04-09-t0.0,0.06,100.0,0.06,100.0,0.06,0.11
gpt-4.1-2025-04-14-t0.0,0.03,100.0,0.03,100.0,0.03,0.08
gpt-4.1-mini-t0.0,0.0,100.0,0.0,100.0,0.0,0.0
gpt-4.1-nano-t0.0,0.0,100.0,0.0,100.0,0.0,0.0
gpt-4o-2024-05-13-t0.0,0.0,100.0,0.0,100.0,0.0,0.0
gpt-4o-2024-08-06-t0.0,0.06,100.0,0.06,100.0,0.06,0.11
gpt-4o-mini-2024-07-18-t0.0,0.03,100.0,0.03,100.0,0.03,0.08
